NCE,NORD,TIPPV,CODU
1,1,1,41
1,2,1,57
1,3,1,60
1,4,1,2
1,5,1,45
1,6,1,32
1,7,1,21
1,8,1,23
1,9,1,46
1,10,1,61
1,11,1,43
1,12,1,3
1,13,1,34
1,14,1,30
1,15,1,44
1,16,1,24
1,17,1,49
1,18,1,36
1,19,1,38
1,20,1,31
2,1,1,41
2,2,1,57
2,3,1,60
2,4,1,2
2,5,1,45
2,6,1,43
2,7,1,36
2,8,1,61
2,9,1,38
2,10,1,32
2,11,1,21
2,12,1,31
2,13,1,24
2,14,1,30
2,15,1,46
2,16,1,34
2,17,1,23
3,1,1,41
3,2,1,57
3,3,1,60
3,4,1,2
3,5,1,49
3,6,1,61
3,7,1,23
3,8,1,36
3,9,1,33
3,10,1,45
3,11,1,37
3,12,1,43
3,13,1,24
3,14,1,46
3,15,1,34
3,16,1,30
3,17,1,31
3,18,1,38
3,19,1,32
3,20,1,44
3,21,1,4
3,22,1,3
4,1,1,41
4,2,1,57
4,3,1,60
4,4,1,2
4,5,1,34
4,6,1,4
4,7,1,30
4,8,1,24
4,9,1,32
4,10,1,45
4,11,1,33
4,12,1,61
4,13,1,44
4,14,1,23
4,15,1,31
4,16,1,49
4,17,1,38
4,18,1,43
4,19,1,21
4,20,1,36
4,21,1,3
5,1,1,41
5,2,1,57
5,3,1,60
5,4,1,2
5,5,1,43
5,6,1,36
5,7,1,45
5,8,1,31
5,9,1,3
5,10,1,24
5,11,1,37
5,12,1,32
5,13,1,30
5,14,1,49
5,15,1,61
5,16,1,38
6,1,1,41
6,2,1,57
6,3,1,60
6,4,1,2
6,5,1,61
6,6,1,31
6,7,1,32
6,8,1,36
6,9,1,44
6,10,1,3
6,11,1,23
6,12,1,30
6,13,1,38
6,14,1,46
6,15,1,45
6,16,1,24
6,17,1,49
6,18,1,43
7,1,1,41
7,2,1,57
7,3,1,60
7,4,1,2
7,5,1,30
7,6,1,37
7,7,1,23
7,8,1,32
7,9,1,45
7,10,1,46
7,11,1,61
7,12,1,44
7,13,1,38
7,14,1,43
7,15,1,24
7,16,1,34
7,17,1,36
7,18,1,4
7,19,1,49
7,20,1,31
7,21,1,33
7,22,1,21
7,23,1,1
8,1,1,41
8,2,1,57
8,3,1,60
8,4,1,2
8,5,1,31
8,6,1,23
8,7,1,36
8,8,1,38
8,9,1,61
8,10,1,21
8,11,1,46
8,12,1,45
8,13,1,34
8,14,1,43
8,15,1,24
8,16,1,49
8,17,1,44
8,18,1,3
8,19,1,30
8,20,1,32
8,21,1,33
9,1,1,41
9,2,1,57
9,3,1,60
9,4,1,2
9,5,1,36
9,6,1,23
9,7,1,45
9,8,1,32
9,9,1,24
9,10,1,38
9,11,1,34
9,12,1,3
9,13,1,21
9,14,1,43
9,15,1,31
9,16,1,44
9,17,1,30
9,18,1,61
9,19,1,46
10,1,1,41
10,2,1,57
10,3,1,60
10,4,1,2
10,5,1,61
10,6,1,40
10,7,1,36
10,8,1,21
10,9,1,23
10,10,1,30
10,11,1,31
10,12,1,43
10,13,1,46
10,14,1,3
10,15,1,44
10,16,1,45
10,17,1,38
10,18,1,34
10,19,1,24
10,20,1,4
10,21,1,32
11,1,1,41
11,2,1,57
11,3,1,60
11,4,1,2
11,5,1,49
11,6,1,31
11,7,1,38
11,8,1,23
11,9,1,36
11,10,1,30
11,11,1,61
11,12,1,21
11,13,1,43
11,14,1,34
11,15,1,4
11,16,1,24
11,17,1,45
12,1,1,41
12,2,1,57
12,3,1,60
12,4,1,2
12,5,1,38
12,6,1,43
12,7,1,44
12,8,1,49
12,9,1,31
12,10,1,3
12,11,1,23
12,12,1,30
12,13,1,4
12,14,1,34
12,15,1,32
12,16,1,24
12,17,1,61
12,18,1,45
12,19,1,36
12,20,1,37
13,1,1,41
13,2,1,57
13,3,1,60
13,4,1,2
13,5,1,24
13,6,1,36
13,7,1,23
13,8,1,49
13,9,1,61
13,10,1,30
13,11,1,43
13,12,1,34
13,13,1,46
13,14,1,45
13,15,1,21
13,16,1,37
13,17,1,38
13,18,1,31
14,1,1,41
14,2,1,57
14,3,1,60
14,4,1,2
14,5,1,43
14,6,1,36
14,7,1,37
14,8,1,49
14,9,1,32
14,10,1,23
14,11,1,44
14,12,1,33
14,13,1,34
14,14,1,24
14,15,1,45
14,16,1,38
14,17,1,4
14,18,1,3
14,19,1,61
14,20,1,31
14,21,1,30
14,22,1,46
15,1,1,41
15,2,1,57
15,3,1,60
15,4,1,2
15,5,1,23
15,6,1,61
15,7,1,30
15,8,1,38
15,9,1,31
15,10,1,24
15,11,1,33
15,12,1,32
15,13,1,3
15,14,1,44
15,15,1,43
15,16,1,34
15,17,1,49
15,18,1,45
16,1,1,41
16,2,1,57
16,3,1,60
16,4,1,2
16,5,1,38
16,6,1,24
16,7,1,4
16,8,1,32
16,9,1,21
16,10,1,36
16,11,1,3
16,12,1,33
16,13,1,37
16,14,1,45
16,15,1,30
16,16,1,31
16,17,1,61
16,18,1,44
16,19,1,23
16,20,1,46
17,1,1,41
17,2,1,57
17,3,1,60
17,4,1,2
17,5,1,38
17,6,1,30
17,7,1,61
17,8,1,37
17,9,1,24
17,10,1,36
17,11,1,43
17,12,1,46
17,13,1,32
17,14,1,45
17,15,1,34
17,16,1,31
17,17,1,33
17,18,1,4
17,19,1,21
17,20,1,3
17,21,1,49
17,22,1,23
18,1,1,41
18,2,1,57
18,3,1,60
18,4,1,2
18,5,1,46
18,6,1,49
18,7,1,31
18,8,1,24
18,9,1,3
18,10,1,30
18,11,1,36
18,12,1,4
18,13,1,32
18,14,1,23
18,15,1,34
18,16,1,37
18,17,1,43
18,18,1,61
18,19,1,45
18,20,1,21
18,21,1,38
19,1,1,41
19,2,1,57
19,3,1,60
19,4,1,2
19,5,1,23
19,6,1,45
19,7,1,44
19,8,1,30
19,9,1,46
19,10,1,24
19,11,1,31
19,12,1,49
19,13,1,33
19,14,1,61
19,15,1,21
19,16,1,32
19,17,1,38
19,18,1,36
19,19,1,43
19,20,1,34
19,21,1,4
20,1,1,41
20,2,1,57
20,3,1,60
20,4,1,2
20,5,1,30
20,6,1,43
20,7,1,61
20,8,1,44
20,9,1,23
20,10,1,31
20,11,1,36
20,12,1,34
20,13,1,3
20,14,1,24
20,15,1,33
20,16,1,49
20,17,1,45
20,18,1,46
20,19,1,37
20,20,1,38
21,1,1,41
21,2,1,57
